

News,#genre#
ITV2, https://viamotionhsi.netplus.ch/live/eds/itv2/browser-dash/itv2.mpd
ITV4, https://viamotionhsi.netplus.ch/live/eds/itv4/browser-HLS8/itv4.m3u8
Jamaica Online TV  [N24/7], https://tvsw7-hls.secdn.net/tvsw7-chorigin/play/prod-bb11dd0e11ca45229a3f58aeff5213d8/playlist.m3u8
Joy Prime, http://69.64.57.208/joyprime/playlist.m3u8
K24, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/k24/playlist.m3u8

Kameme TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/kamemetv/playlist.m3u8
Kantipur TV, https://ktvhdsg.ekantipur.com:8443/high_quality_85840165/hd/playlist.m3u8
Kass TV  [N24/7], https://goliveafrica.media:9998/live/62f643cdca8cf/index.m3u8
KBC Channel 1, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/kbc/playlist.m3u8
KBS TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119695/kbstv/playlist.m3u8
KBS World, https://live.fptplay53.net/epzhd2/kbs_hls.smil/chunklist.m3u8
KBS World HD, https://hls.mskycdn.online/tv/kbsworld/index.m3u8
KCBS-DT1  [N24/7], https://tvpass.org/live/cbs-kcbs-los-angeles-ca/hd
KCTV-DT1, https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00312-graytelevisioni-kctv5news-vizious/playlist.m3u8
Kessben TV, https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120428/kessbentv/playlist.m3u8
KIRO-DT1, https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00327-coxmediagroup-kirobreaking-ono/playlist.m3u8
KITV 4 Island News, https://fuel-streaming-prod01.fuelmedia.io/v1/sem/c4067ddc-0e67-4928-b7ec-624481f721a6.m3u8
KMBC-DT1, https://cvtv.cvalley.net/hls/KMBCABC/KMBCABC.m3u8
KMCI-DT1, https://cvtv.cvalley.net/hls/KMCIIND/KMCIIND.m3u8
KMIZ-DT1, https://cvtv.cvalley.net/hls/KMIZABC/KMIZABC.m3u8
KMOV-DT1, https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00312-graytelevisioni-kmovnews4stlouis-vizious/playlist.m3u8
